segment_id,label,health_vib_mean,health_vib_min,health_vib_p10,health_vib_std
0,normal,71.53928721906773,8.494518516934535,41.65681032642698,22.58145943535822
1,normal,44.303061488713546,0.0,0.0,32.53641639414008
2,normal,36.75391612951633,0.0,8.506013899642037,21.280040306108898
3,normal,39.22675583068302,0.0,5.449571789238426,24.78226913661735
4,normal,52.354806376046014,0.0,27.52203627742489,23.164238264078516
5,anomal_env,0.0,0.0,0.0,0.0
6,anomal_env,0.0,0.0,,0.0
7,anomal_env,0.0,0.0,0.0,0.0
8,anomal_env,0.0,0.0,0.0,0.0
9,anomal_env,0.0,0.0,0.0,0.0
10,anomal_env,0.0,0.0,0.0,0.0
11,anomal_env,0.0,0.0,0.0,0.0
12,anomal_env,18.96839439987821,0.0,0.0,26.404149467266055
13,anomal_env,57.40499287152022,5.507863673938019,31.242336739186484,22.60927780694732
14,anomal_env,15.683830889696361,0.0,0.0,30.9475568608918
15,anomal_env,13.333333333333334,0.0,0.0,34.280333180088164
16,anomal_env,100.0,100.0,100.0,0.0
17,anomal_env,100.0,100.0,100.0,0.0
18,anomal_env,33.333333333333336,0.0,0.0,47.538268854152854
19,anomal_env,0.0,0.0,0.0,0.0
20,anomal_env,0.0,0.0,0.0,0.0
21,anomal_env,0.0,0.0,0.0,0.0
22,anomal_env,0.0,0.0,0.0,0.0
23,anomal_env,8.333333333333334,0.0,0.0,27.871780678530218
24,anomal_env,100.0,100.0,100.0,0.0
25,anomal_env,100.0,100.0,100.0,0.0
26,anomal_env,41.666666666666664,0.0,0.0,49.7167116011244
27,anomal_env,0.0,0.0,0.0,0.0
28,anomal_env,0.0,0.0,0.0,0.0
29,anomal_env,0.0,0.0,0.0,0.0
30,anomal_env,0.0,0.0,0.0,0.0
31,anomal_env,0.0,0.0,0.0,0.0
32,anomal_env,0.0,0.0,0.0,0.0
33,anomal_env,0.0,0.0,0.0,0.0
33,anomal_fault,0.0,0.0,0.0,0.0
34,anomal_fault,0.0,0.0,0.0,0.0
35,anomal_fault,0.0,0.0,0.0,0.0
36,anomal_fault,0.0,0.0,0.0,0.0
37,anomal_fault,0.0,0.0,0.0,0.0
38,anomal_fault,0.0,0.0,0.0,0.0
39,anomal_fault,0.0,0.0,0.0,0.0
40,anomal_fault,0.0,0.0,0.0,0.0
41,anomal_fault,0.0,0.0,0.0,0.0
42,anomal_fault,0.0,0.0,0.0,0.0
43,anomal_fault,0.0,0.0,0.0,0.0
44,anomal_fault,0.0,0.0,0.0,0.0
45,anomal_fault,0.0,0.0,0.0,0.0
46,anomal_fault,0.0,0.0,0.0,0.0
47,anomal_fault,0.0,0.0,0.0,0.0
48,anomal_fault,0.0,0.0,0.0,0.0
49,anomal_fault,0.0,0.0,0.0,0.0
50,anomal_fault,0.0,0.0,0.0,0.0
51,anomal_fault,0.0,0.0,0.0,0.0
52,anomal_fault,0.0,0.0,0.0,0.0
53,anomal_fault,0.0,0.0,0.0,0.0
54,anomal_fault,0.0,0.0,0.0,0.0
55,anomal_fault,0.0,0.0,0.0,0.0
56,anomal_fault,0.0,0.0,0.0,0.0
